Species,Scientific Name,Type,Order,NOT Species Level,Cat_1#,Cat1_Source,Cat_2#,Cat2_Source,Cat_3#,Cat3_Source,Cat_4#,Cat4_Source,Total,IUCN,Notes,,
Southern eagle ray,Myliobatis australis,Ray/Skate,Myliobatiform,FALSE,,,,,1,"Pirotta et al., 2022",,,,LC,,,
Deep-water species not yet identified,n/a,noot,noot,TRUE,,,1,"Humber et al., 2017; ",,,,,,Multiple/Many,"Humber et al., 2017 - pers. comm from D. Ebert",,
Lesser numbfish,Narcine brasiliensis,Ray/Skate,Torpediniform,FALSE,,,1,"Blanco-Parra et al., 2022",,,,,,NT,,,
Tawny nurse shark,Nebrius ferrugineus,Shark,Orectolobiform,FALSE,,,3,"Vianna et al., 2014; Séguigne et al., 2023; Ward-Paige et al., 2023",,,,,,VU,,,
Sharptooth lemon shark,Negaprion acutidens,Shark,Carcharhiniform,FALSE,,,3,"Vianna et al., 2014; Séguigne et al., 2023; Ward-Paige et al., 2023",,,,,,EN,,,
Lemon shark,Negaprion brevirostris,Shark,Carcharhiniform,FALSE,,,2,"McCallister et al., 2025; Blanco-Parra et al., 2022",,,,,,VU,,,
Maskray sp.,Neotrygon sp.,Ray/Skate,Myliobatiform,TRUE,,,,,1,"Gotama et al., 2023",,,,Multiple/Many,,,
Smalltooth sand tiger shark,Odontaspis ferox,Shark,Lamniform,FALSE,,,3,"Humber et al., 2017; Séguigne et al., 2023; De Santis et al., 2025",,,,,,EN,,,
Bigeye sand tiger shark,Odontaspis noronhai,Shark,Lamniform,FALSE,,,1,"Humber et al., 2017; ",,,,,,LC,,,
Wobbegong spp.,Orectolobidae spp.,Shark,Orectolobiform,TRUE,,,,,,,1,"Roelfsema et al., 2016",,Multiple/Many,,,
Spotted wobbegong,Orectolobus maculatus,Ray/Skate,Orectolobiform,FALSE,,,,,1,"Pirotta et al., 2022",,,,LC,,,
Angular roughshark,Oxynotus centrina,Shark,Squaliform,FALSE,,,3,"Bengil, 2020; Ćetković et al., 2024; De Santis et al., 2025",,,,,,EN,,,
Pink whipray,Pateobatis fai,Ray/Skate,Myliobatiform,FALSE,,,1,"Séguigne et al., 2023",,,,,,VU,,,
Blue shark,Prionace glauca,Shark,Carcharhiniform,FALSE,1,"Boldrocchi & Storai, 2021",3,"Humber et al., 2017; Ćetković et al., 2024; De Santis et al., 2025",,,,,,NT,"CE in med sea in 2016, NT for global in 2019",,
Sawshark sp.,Pristiophoridae sp.,Shark,Pristophoriform,TRUE,,,1,"Humber et al., 2017; ",,,,,,Multiple/Many,,,
African dwarf sawshark,Pristiophorus nancyae,Shark,Pristophoriform,FALSE,,,1,"Humber et al., 2017; ",,,,,,LC,,,
Dwarf sawfish,Pristis clavata,Ray/Skate,Rhinopristiform,FALSE,,,2,"Bateman et al., 2024; Biskis et al., 2025",,,,,,CR,,,
Smalltooth sawfish,Pristis pectinata,Ray/Skate,Rhinopristiform,FALSE,,,1,"McCallister et al., 2025;",,,,,,CR,,,
Largetooth sawfish,Pristis pristis,Ray/Skate,Rhinopristiform,FALSE,,,2,"Bateman et al., 2024; Biskis et al., 2025",,,,,,CR,,,
Green sawfish,Pristis zijsron,Ray/Skate,Rhinopristiform,FALSE,,,2,"Bateman et al., 2024; Biskis et al., 2025",,,,,,CR,,,
Freckled guitarfish,Pseudobatos lentiginosus,Ray/Skate,Rhinopristiform,FALSE,,,1,"Blanco-Parra et al., 2022",,,,,,VU,,,
Shorttail nurse shark,Pseudoginglymostoma brevicaudatum,Shark,Orectolobiform,FALSE,,,1,"Humber et al., 2017; ",,,,,,CR,,,
Pelagic stingray,Pteroplatytrygon violacea,Ray/Skate,Myliobatiform,FALSE,,,3,"Séguigne et al., 2023; Ćetković et al., 2024; De Santis et al., 2025",,,,,,LC,,,
Starry skate,Raja asterias,Ray/Skate,Rajiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,LC,,,
Thornback skate,Raja clavata,Ray/Skate,Rajiform,FALSE,,,3,"Bengil, 2020; Ćetković et al., 2024; De Santis et al., 2025",,,,,,NT,,,
Brown skate,Raja miraletus,Ray/Skate,Rajiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,LC,,,
Speckled skate,Raja polystigma,Ray/Skate,Rajiform,FALSE,,,1,"Ćetković et al., 2024",,,,,,LC,,,
Rough skate,Raja radula,Ray/Skate,Rajiform,FALSE,,,1,"Bengil, 2020",,,,,,EN,,,
Skate spp.,Raja spp.,Ray/Skate,Rajiform,TRUE,,,1,"De Santis et al., 2025",,,,,,Multiple/Many,,,
Bowmouth guitarfish,Rhina ancylostoma,Ray/Skate,Rhinopristiform,FALSE,,,1,"Bateman et al., 2024",,,,,,CR,,,
Whale shark,Rhincodon typus,Shark,Orectolobiform,FALSE,6,"Marcoux et al., 2023; Davies et al., 2012; Araujo et al., 2022; Magson et al., 2021; Whitehead & Gayford, 2023; Araujo et al., 2020b",2,"Blanco-Parra et al., 2022; Séguigne et al., 2023",1,"Muñoz-Pérez et al., 2023",,,,EN,,,
Common guitarfish,Rhinobatos rhinobatos,Ray/Skate,Rhinopristiform,FALSE,,,1,"Bengil, 2020",,,,,,CR,,,
Guitarfish spp.,Rhinobatos spp.,Ray/Skate,Rhinopristiform,TRUE,,,2,"Humber et al., 2017; De Santis et al., 2025",,,,,,Multiple/Many,,,
Australian cownose ray,Rhinoptera neglecta,Ray/Skate,Myliobatiform,FALSE,,,,,1,"Pirotta et al., 2022",,,,DD,,,
Cownose sp.,Rhinoptera sp.,Ray/Skate,Myliobatiform,TRUE,,,1,"Blanco-Parra et al., 2022",,,,,,Multiple/Many,,,
Sharpnose sp.,Rhizoprionodon sp.,Shark,Carcharhiniform,TRUE,,,1,"Blanco-Parra et al., 2022",,,,,,Multiple/Many,,,
Sharpnose spp. (Atlantic sharpnose or Caribbean sharpnose),Rhizoprionodon spp. (R. terraenovae or R. porosus),Shark,Carcharhiniform,TRUE,,,1,"McCallister et al., 2025;",,,,,,Multiple/Many,,,
Bottlenose wedgefish,Rhynchobatus australiae,Ray/Skate,Rhinopristiform,FALSE,,,2,"Araujo et al., 2024; Bateman et al., 2024",,,,,,CR,,,
Giant guitarfish,Rhynchobatus djiddensis,Ray/Skate,Rhinopristiform,FALSE,,,1,"Humber et al., 2017; ",,,,,,CR,,,
Eyebrow wedgefish,Rhynchobatus palpebratus,Ray/Skate,Rhinopristiform,FALSE,,,1,"Bateman et al., 2024",,,,,,NT,,,
Wedgefish spp.,Rhynchobatus spp.,Ray/Skate,Rhinopristiform,TRUE,,,2,"Humber et al., 2017; Bateman et al., 2024",,,,,,Multiple/Many,,,
White skate,Rostroraja alba,Ray/Skate,Rajiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,EN,,,
Smallspotted catshark,Scyliorhinus canicula,Shark,Carcharhiniform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,LC,,,
Nursehound,Scyliorhinus stellaris,Shark,Carcharhiniform,FALSE,,,1,"Bengil, 2020",,,,,,VU,,,
Catshark spp.,Scyliorhunis spp.,Shark,Carcharhiniform,TRUE,,,1,"De Santis et al., 2025",,,,,,Multiple/Many,,,
Unknown shark spp.,Selachian spp.,Shark,noot,TRUE,,,,,1,"Pirotta et al., 2022",,,,Multiple/Many,,,
Scalloped hammerhead shark,Sphyrna lewini,Shark,Carcharhiniform,FALSE,,,7,"McCallister et al., 2025; Humber et al., 2017; Blanco-Parra et al., 2022; Séguigne et al., 2023; Ward-Paige et al., 2023; Gore et al., 2024; Osgood et al., 2021",2,"Pirotta et al., 2022; Muñoz-Pérez et al., 2023",,,,CR,,,
Great hammerhead shark,Sphyrna mokarran,Shark,Carcharhiniform,FALSE,,,5,"McCallister et al., 2025; Blanco-Parra et al., 2022; Séguigne et al., 2023; Ward-Paige et al., 2023; Gore et al., 2024",,,,,,CR,,1,Primarily focused on a single chondricthyan species
Hammerhead shark spp.,Sphyrna spp.,Shark,Carcharhiniform,TRUE,,,5,"McCallister et al., 2025; Vianna et al., 2014; Leurs et al., 2025; Gore et al., 2024; De Santis et al., 2025",,,,,,Multiple/Many,,,
Bonnethead shark,Sphyrna tiburo,Shark,Carcharhiniform,FALSE,,,2,"McCallister et al., 2025; Blanco-Parra et al., 2022",,,,,,EN,,,
Smooth hammerhead shark,Sphyrna zygaena,Shark,Carcharhiniform,FALSE,,,1,"Séguigne et al., 2023",,,,,,VU,,,
Spiny dogfish,Squalus acanthias,Shark,Squaliform,FALSE,,,1,"De Santis et al., 2025",,,,,,VU,,,
Longnose spurdog,Squalus blainville,Shark,Squaliform,FALSE,,,3,"Bengil, 2020; Ćetković et al., 2024; De Santis et al., 2025",,,,,,DD,,,
Spurdog sp.,Squalus sp.,Shark,Squaliform,TRUE,,,1,"Séguigne et al., 2023",,,,,,Multiple/Many,,,
African angelshark,Squatina africana,Shark,Squatiniform,FALSE,,,1,"Humber et al., 2017; ",,,,,,NT,,,
Angelshark,Squatina squatina,Shark,Squatiniform,FALSE,,,3,"Bengil, 2020; Ćetković et al., 2024; De Santis et al., 2025",,,,,,CR,,,
Zebra shark,Stegostoma tigrinum,Shark,Orectolobiform,FALSE,,,4,"Vianna et al., 2014; Humber et al., 2017; Araujo et al., 2024; Ward-Paige et al., 2023",,,,,,EN,,,
Atlantic chupare,Styracura schmardae,Ray/Skate,Myliobatiform,FALSE,,,1,"Blanco-Parra et al., 2022",,,,,,EN,,,
Blotched fantail ray,Taeniurops meyeni,Ray/Skate,Myliobatiform,FALSE,,,2,"Séguigne et al., 2023; Osgood et al., 2021",1,"Gotama et al., 2023",,,,VU,,,
Marbled torpedo ray,Torpedo marmorata,Ray/Skate,Torpediniform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,VU,,,
Ocellate torpedo,Torpedo torpedo,Ray/Skate,Torpediniform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,VU,,,
Whitetip reef shark,Triaenodon obesus,Shark,Carcharhiniform,FALSE,,,5,"Vianna et al., 2014; Humber et al., 2017; Séguigne et al., 2023; Ward-Paige et al., 2023; Osgood et al., 2021",,,,,,VU,,,
Unidentified sawfish spp.,Unidentified pristid spp.,Ray/Skate,Rhinopristiform,TRUE,,,1,"Bateman et al., 2024",,,,,,Multiple/Many,,,
Yellow stingray,Urobatis jamaicensis,Ray/Skate,Myliobatiform,FALSE,,,1,"Blanco-Parra et al., 2022",,,,,,LC,,,
