"","species","scientific_name","division","order","not_species_level","cat1_total","cat2_total","cat3_total","cat4_total","iucn","species_totals"
"86","Smalltooth sawfish","Pristis pectinata","Ray/Skate","Rhinopristiform",FALSE,0,1,0,0,"CR",1
"87","Largetooth sawfish","Pristis pristis","Ray/Skate","Rhinopristiform",FALSE,0,2,0,0,"CR",2
"88","Green sawfish","Pristis zijsron","Ray/Skate","Rhinopristiform",FALSE,0,2,0,0,"CR",2
"89","Freckled guitarfish","Pseudobatos lentiginosus","Ray/Skate","Rhinopristiform",FALSE,0,1,0,0,"VU",1
"90","Shorttail nurse shark","Pseudoginglymostoma brevicaudatum","Shark","Orectolobiform",FALSE,0,1,0,0,"CR",1
"91","Pelagic stingray","Pteroplatytrygon violacea","Ray/Skate","Myliobatiform",FALSE,0,3,0,0,"LC",3
"92","Starry skate","Raja asterias","Ray/Skate","Rajiform",FALSE,0,2,0,0,"LC",2
"93","Thornback skate","Raja clavata","Ray/Skate","Rajiform",FALSE,0,3,0,0,"NT",3
"94","Brown skate","Raja miraletus","Ray/Skate","Rajiform",FALSE,0,2,0,0,"LC",2
"95","Speckled skate","Raja polystigma","Ray/Skate","Rajiform",FALSE,0,1,0,0,"LC",1
"96","Rough skate","Raja radula","Ray/Skate","Rajiform",FALSE,0,1,0,0,"EN",1
"97","Skate spp.","Raja spp.","Ray/Skate","Rajiform",TRUE,0,1,0,0,"Multiple/Many",1
"98","Bowmouth guitarfish","Rhina ancylostoma","Ray/Skate","Rhinopristiform",FALSE,0,1,0,0,"CR",1
"99","Whale shark","Rhincodon typus","Shark","Orectolobiform",FALSE,6,2,1,0,"EN",9
"100","Common guitarfish","Rhinobatos rhinobatos","Ray/Skate","Rhinopristiform",FALSE,0,1,0,0,"CR",1
"101","Guitarfish spp.","Rhinobatos spp.","Ray/Skate","Rhinopristiform",TRUE,0,2,0,0,"Multiple/Many",2
"102","Australian cownose ray","Rhinoptera neglecta","Ray/Skate","Myliobatiform",FALSE,0,0,1,0,"DD",1
"103","Cownose sp.","Rhinoptera sp.","Ray/Skate","Myliobatiform",TRUE,0,1,0,0,"Multiple/Many",1
"104","Sharpnose sp.","Rhizoprionodon sp.","Shark","Carcharhiniform",TRUE,0,1,0,0,"Multiple/Many",1
"105","Sharpnose spp. (Atlantic sharpnose or Caribbean sharpnose)","Rhizoprionodon spp. (R. terraenovae or R. porosus)","Shark","Carcharhiniform",TRUE,0,1,0,0,"Multiple/Many",1
"106","Bottlenose wedgefish","Rhynchobatus australiae","Ray/Skate","Rhinopristiform",FALSE,0,2,0,0,"CR",2
"107","Giant guitarfish","Rhynchobatus djiddensis","Ray/Skate","Rhinopristiform",FALSE,0,1,0,0,"CR",1
"108","Eyebrow wedgefish","Rhynchobatus palpebratus","Ray/Skate","Rhinopristiform",FALSE,0,1,0,0,"NT",1
"109","Wedgefish spp.","Rhynchobatus spp.","Ray/Skate","Rhinopristiform",TRUE,0,2,0,0,"Multiple/Many",2
"110","White skate","Rostroraja alba","Ray/Skate","Rajiform",FALSE,0,2,0,0,"EN",2
"111","Smallspotted catshark","Scyliorhinus canicula","Shark","Carcharhiniform",FALSE,0,2,0,0,"LC",2
"112","Nursehound","Scyliorhinus stellaris","Shark","Carcharhiniform",FALSE,0,1,0,0,"VU",1
"113","Catshark spp.","Scyliorhunis spp.","Shark","Carcharhiniform",TRUE,0,1,0,0,"Multiple/Many",1
"114","Unknown shark spp.","Selachian spp.","Shark","noot",TRUE,0,0,1,0,"Multiple/Many",1
"115","Scalloped hammerhead shark","Sphyrna lewini","Shark","Carcharhiniform",FALSE,0,7,2,0,"CR",9
"116","Great hammerhead shark","Sphyrna mokarran","Shark","Carcharhiniform",FALSE,0,5,0,0,"CR",5
"117","Hammerhead shark spp.","Sphyrna spp.","Shark","Carcharhiniform",TRUE,0,5,0,0,"Multiple/Many",5
"118","Bonnethead shark","Sphyrna tiburo","Shark","Carcharhiniform",FALSE,0,2,0,0,"EN",2
"119","Smooth hammerhead shark","Sphyrna zygaena","Shark","Carcharhiniform",FALSE,0,1,0,0,"VU",1
"120","Spiny dogfish","Squalus acanthias","Shark","Squaliform",FALSE,0,1,0,0,"VU",1
"121","Longnose spurdog","Squalus blainville","Shark","Squaliform",FALSE,0,3,0,0,"DD",3
"122","Spurdog sp.","Squalus sp.","Shark","Squaliform",TRUE,0,1,0,0,"Multiple/Many",1
"123","African angelshark","Squatina africana","Shark","Squatiniform",FALSE,0,1,0,0,"NT",1
"124","Angelshark","Squatina squatina","Shark","Squatiniform",FALSE,0,3,0,0,"CR",3
"125","Zebra shark","Stegostoma tigrinum","Shark","Orectolobiform",FALSE,0,4,0,0,"EN",4
"126","Atlantic chupare","Styracura schmardae","Ray/Skate","Myliobatiform",FALSE,0,1,0,0,"EN",1
"127","Blotched fantail ray","Taeniurops meyeni","Ray/Skate","Myliobatiform",FALSE,0,2,1,0,"VU",3
"128","Marbled torpedo ray","Torpedo marmorata","Ray/Skate","Torpediniform",FALSE,0,2,0,0,"VU",2
"129","Ocellate torpedo","Torpedo torpedo","Ray/Skate","Torpediniform",FALSE,0,2,0,0,"VU",2
"130","Whitetip reef shark","Triaenodon obesus","Shark","Carcharhiniform",FALSE,0,5,0,0,"VU",5
"131","Unidentified sawfish spp.","Unidentified pristid spp.","Ray/Skate","Rhinopristiform",TRUE,0,1,0,0,"Multiple/Many",1
"132","Yellow stingray","Urobatis jamaicensis","Ray/Skate","Myliobatiform",FALSE,0,1,0,0,"LC",1
